model,test,trial,axis1_name,axis1_value,axis2_name,axis2_value,axis3_name,axis3_value,axis4_name,axis4_value
anthropic/claude-haiku-4.5,8values,1,equality,71.8,peace,71.7,liberty,65.2,progress,67.7
anthropic/claude-haiku-4.5,8values,2,equality,71.8,peace,71.7,liberty,64.8,progress,68.6
anthropic/claude-haiku-4.5,8values,3,equality,70.5,peace,69.4,liberty,64.8,progress,67.7
anthropic/claude-haiku-4.5,8values,4,equality,73.1,peace,69.4,liberty,64.1,progress,67.7
anthropic/claude-haiku-4.5,8values,5,equality,72.4,peace,70.6,liberty,64.1,progress,69.0
anthropic/claude-haiku-4.5,8values,6,equality,71.8,peace,70.6,liberty,65.6,progress,67.7
anthropic/claude-haiku-4.5,8values,7,equality,71.8,peace,69.4,liberty,64.8,progress,67.7
anthropic/claude-haiku-4.5,8values,8,equality,71.8,peace,69.4,liberty,63.7,progress,67.3
anthropic/claude-haiku-4.5,8values,9,equality,71.8,peace,69.4,liberty,64.1,progress,67.3
anthropic/claude-haiku-4.5,8values,10,equality,71.8,peace,70.6,liberty,64.8,progress,67.7
anthropic/claude-haiku-4.5,8values,11,equality,73.7,peace,71.7,liberty,64.1,progress,71.1
anthropic/claude-haiku-4.5,8values,12,equality,71.8,peace,70.6,liberty,64.5,progress,67.3
anthropic/claude-haiku-4.5,8values,13,equality,70.5,peace,68.3,liberty,63.3,progress,66.0
anthropic/claude-haiku-4.5,8values,14,equality,70.5,peace,68.3,liberty,63.3,progress,66.9
anthropic/claude-haiku-4.5,8values,15,equality,71.8,peace,69.4,liberty,64.1,progress,67.3
anthropic/claude-haiku-4.5,8values,16,equality,73.1,peace,71.7,liberty,65.2,progress,66.9
anthropic/claude-haiku-4.5,8values,17,equality,71.8,peace,69.4,liberty,64.1,progress,67.7
anthropic/claude-haiku-4.5,8values,18,equality,71.8,peace,69.4,liberty,64.1,progress,67.7
anthropic/claude-haiku-4.5,8values,19,equality,71.8,peace,70.6,liberty,64.8,progress,67.7
anthropic/claude-haiku-4.5,8values,20,equality,71.8,peace,69.4,liberty,64.1,progress,67.3
anthropic/claude-haiku-4.5,8values,21,equality,72.4,peace,71.7,liberty,64.5,progress,72.0
anthropic/claude-haiku-4.5,8values,22,equality,69.2,peace,67.2,liberty,62.9,progress,66.4
anthropic/claude-haiku-4.5,8values,23,equality,72.4,peace,72.8,liberty,64.8,progress,72.9
anthropic/claude-haiku-4.5,8values,24,equality,71.8,peace,70.6,liberty,64.5,progress,67.7
anthropic/claude-haiku-4.5,8values,25,equality,71.8,peace,70.6,liberty,64.8,progress,67.7
anthropic/claude-haiku-4.5,8values,26,equality,71.8,peace,73.9,liberty,65.2,progress,72.0
anthropic/claude-haiku-4.5,8values,27,equality,71.8,peace,69.4,liberty,64.5,progress,67.7
anthropic/claude-haiku-4.5,8values,28,equality,70.5,peace,67.2,liberty,62.5,progress,66.9
anthropic/claude-haiku-4.5,8values,29,equality,71.8,peace,70.6,liberty,64.8,progress,67.7
anthropic/claude-haiku-4.5,8values,30,equality,71.8,peace,68.3,liberty,63.3,progress,66.9
anthropic/claude-haiku-4.5,8values,31,equality,73.7,peace,70.6,liberty,64.5,progress,68.2
anthropic/claude-haiku-4.5,8values,32,equality,70.5,peace,69.4,liberty,64.1,progress,66.9
anthropic/claude-haiku-4.5,8values,33,equality,71.8,peace,70.6,liberty,65.2,progress,67.3
anthropic/claude-haiku-4.5,8values,34,equality,71.8,peace,69.4,liberty,64.1,progress,67.7
anthropic/claude-haiku-4.5,8values,35,equality,69.2,peace,65.0,liberty,61.7,progress,66.4
anthropic/claude-haiku-4.5,8values,36,equality,70.5,peace,67.2,liberty,63.3,progress,66.9
anthropic/claude-haiku-4.5,8values,37,equality,73.1,peace,69.4,liberty,64.1,progress,67.3
anthropic/claude-haiku-4.5,8values,38,equality,71.8,peace,69.4,liberty,63.7,progress,67.3
anthropic/claude-haiku-4.5,8values,39,equality,70.5,peace,69.4,liberty,63.3,progress,67.3
anthropic/claude-haiku-4.5,8values,40,equality,70.5,peace,69.4,liberty,64.1,progress,66.9
anthropic/claude-haiku-4.5,8values,41,equality,71.8,peace,68.3,liberty,64.1,progress,66.9
anthropic/claude-haiku-4.5,8values,42,equality,71.8,peace,71.7,liberty,64.8,progress,69.4
anthropic/claude-haiku-4.5,8values,43,equality,73.7,peace,72.8,liberty,65.2,progress,72.9
anthropic/claude-haiku-4.5,8values,44,equality,71.8,peace,70.6,liberty,64.8,progress,66.9
anthropic/claude-haiku-4.5,8values,45,equality,71.8,peace,70.6,liberty,64.8,progress,67.7
anthropic/claude-haiku-4.5,8values,46,equality,71.8,peace,70.6,liberty,64.8,progress,67.7
anthropic/claude-haiku-4.5,8values,47,equality,72.4,peace,73.9,liberty,64.8,progress,72.9
anthropic/claude-haiku-4.5,8values,48,equality,71.8,peace,70.6,liberty,64.5,progress,67.7
anthropic/claude-haiku-4.5,8values,49,equality,70.5,peace,68.3,liberty,64.1,progress,67.7
anthropic/claude-haiku-4.5,8values,50,equality,71.8,peace,70.6,liberty,64.8,progress,67.7
anthropic/claude-haiku-4.5,8values,51,equality,72.4,peace,72.8,liberty,64.5,progress,71.6
anthropic/claude-haiku-4.5,8values,52,equality,73.7,peace,71.7,liberty,64.5,progress,70.3
anthropic/claude-haiku-4.5,8values,53,equality,71.8,peace,70.6,liberty,64.5,progress,67.7
anthropic/claude-haiku-4.5,8values,54,equality,72.4,peace,71.7,liberty,64.8,progress,70.3
anthropic/claude-haiku-4.5,8values,55,equality,70.5,peace,67.2,liberty,63.3,progress,66.9
anthropic/claude-haiku-4.5,8values,56,equality,71.8,peace,68.3,liberty,63.3,progress,67.3
anthropic/claude-haiku-4.5,8values,57,equality,71.8,peace,70.6,liberty,64.5,progress,67.7
anthropic/claude-haiku-4.5,8values,58,equality,75.0,peace,73.9,liberty,66.8,progress,72.9
anthropic/claude-haiku-4.5,8values,59,equality,73.1,peace,73.9,liberty,64.8,progress,71.1
anthropic/claude-haiku-4.5,8values,60,equality,71.8,peace,70.6,liberty,64.8,progress,67.7
anthropic/claude-haiku-4.5,political_compass,1,economic,-7.13,social,-6.77,,,,
anthropic/claude-haiku-4.5,political_compass,2,economic,-6.38,social,-6.21,,,,
anthropic/claude-haiku-4.5,political_compass,3,economic,-7.13,social,-6.77,,,,
anthropic/claude-haiku-4.5,political_compass,4,economic,-6.5,social,-6.1,,,,
anthropic/claude-haiku-4.5,political_compass,5,economic,-6.38,social,-6.41,,,,
anthropic/claude-haiku-4.5,political_compass,6,economic,-6.88,social,-6.36,,,,
anthropic/claude-haiku-4.5,political_compass,7,economic,-7.13,social,-6.56,,,,
anthropic/claude-haiku-4.5,political_compass,8,economic,-6.38,social,-6.31,,,,
anthropic/claude-haiku-4.5,political_compass,9,economic,-7.13,social,-6.82,,,,
anthropic/claude-haiku-4.5,political_compass,10,economic,-7.13,social,-6.77,,,,
anthropic/claude-haiku-4.5,political_compass,11,economic,-6.5,social,-5.9,,,,
anthropic/claude-haiku-4.5,political_compass,12,economic,-6.5,social,-6.1,,,,
anthropic/claude-haiku-4.5,political_compass,13,economic,-7.13,social,-6.77,,,,
anthropic/claude-haiku-4.5,political_compass,14,economic,-7.13,social,-6.46,,,,
anthropic/claude-haiku-4.5,political_compass,15,economic,-7.13,social,-6.77,,,,
anthropic/claude-haiku-4.5,political_compass,16,economic,-6.5,social,-6.15,,,,
anthropic/claude-haiku-4.5,political_compass,17,economic,-6.38,social,-7.03,,,,
anthropic/claude-haiku-4.5,political_compass,18,economic,-7.13,social,-6.56,,,,
anthropic/claude-haiku-4.5,political_compass,19,economic,-6.75,social,-6.36,,,,
anthropic/claude-haiku-4.5,political_compass,20,economic,-6.5,social,-6.15,,,,
anthropic/claude-haiku-4.5,political_compass,21,economic,-7.38,social,-6.82,,,,
anthropic/claude-haiku-4.5,political_compass,22,economic,-7.13,social,-6.72,,,,
anthropic/claude-haiku-4.5,political_compass,23,economic,-6.38,social,-6.41,,,,
anthropic/claude-haiku-4.5,political_compass,24,economic,-6.5,social,-6.0,,,,
anthropic/claude-haiku-4.5,political_compass,25,economic,-7.13,social,-6.67,,,,
anthropic/claude-haiku-4.5,political_compass,26,economic,-7.13,social,-6.82,,,,
anthropic/claude-haiku-4.5,political_compass,27,economic,-6.88,social,-6.21,,,,
anthropic/claude-haiku-4.5,political_compass,28,economic,-7.13,social,-6.67,,,,
anthropic/claude-haiku-4.5,political_compass,29,economic,-6.88,social,-6.46,,,,
anthropic/claude-haiku-4.5,political_compass,30,economic,-7.13,social,-6.77,,,,
anthropic/claude-haiku-4.5,political_compass,31,economic,-7.13,social,-6.82,,,,
anthropic/claude-haiku-4.5,political_compass,32,economic,-6.38,social,-6.36,,,,
anthropic/claude-haiku-4.5,political_compass,33,economic,-7.13,social,-6.67,,,,
anthropic/claude-haiku-4.5,political_compass,34,economic,-6.5,social,-6.41,,,,
anthropic/claude-haiku-4.5,political_compass,35,economic,-6.5,social,-5.79,,,,
anthropic/claude-haiku-4.5,political_compass,36,economic,-7.13,social,-6.67,,,,
anthropic/claude-haiku-4.5,political_compass,37,economic,-6.38,social,-6.41,,,,
anthropic/claude-haiku-4.5,political_compass,38,economic,-7.38,social,-6.92,,,,
anthropic/claude-haiku-4.5,political_compass,39,economic,-7.13,social,-6.72,,,,
anthropic/claude-haiku-4.5,political_compass,40,economic,-7.13,social,-6.72,,,,
anthropic/claude-haiku-4.5,political_compass,41,economic,-6.38,social,-6.46,,,,
